multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgCDK11B_3	sgAPOBEC3C_3	NA	NA	NA	sgC1orf229_2
sgCDK2AP2_4	sgAPOBEC3D_4	NA	NA	NA	sgC1orf229_3
sgCDRT15L2_1	sgAPOBEC3F_1	NA	NA	NA	sgC1orf229_4
sgCDRT15L2_2	sgAPOBEC3H_2	NA	NA	NA	sgC1orf61_1
sgCDRT15L2_3	sgAPOC1_3	NA	NA	NA	sgC1orf61_3
sgCDRT15_1	sgAPOL1_2	NA	NA	NA	sgC1orf61_4
sgCDRT15_2	sgAPOL1_3	NA	NA	NA	sgC20orf197_1
sgCDRT1_4	sgAPOL4_2	NA	NA	NA	sgC20orf197_2
sgCDY1B_1	sgAPOOL_1	NA	NA	NA	sgC20orf197_3
sgCDY1B_2	sgAPOOL_2	NA	NA	NA	sgC20orf197_4
sgCDY1B_3	sgAPOO_1	NA	NA	NA	sgC20orf202_3
sgCDY1B_4	sgAPOO_2	NA	NA	NA	sgC20orf62_1
sgCDY1_1	sgAQP12A_2	NA	NA	NA	sgC20orf62_2
sgCDY1_2	sgAQP12A_3	NA	NA	NA	sgC20orf62_3
sgCDY1_3	sgAQP12B_1	NA	NA	NA	sgC20orf62_4
sgCDY1_4	sgAQP6_3	NA	NA	NA	sgC20orf78_1
sgCDY2A_1	sgAQP7_1	NA	NA	NA	sgC20orf78_2
sgCDY2A_2	sgARCN1_1	NA	NA	NA	sgC20orf78_3
sgCDY2A_3	sgARF1_1	NA	NA	NA	sgC20orf78_4
sgCDY2A_4	sgARF1_4	NA	NA	NA	sgC22orf24_1
sgCDY2B_1	sgARF3_2	NA	NA	NA	sgC22orf24_2
sgCDY2B_2	sgARF5_2	NA	NA	NA	sgC22orf24_3
sgCDY2B_3	sgARF6_1	NA	NA	NA	sgC22orf34_1
sgCDY2B_4	sgARF6_3	NA	NA	NA	sgC22orf34_2
sgCEACAM5_2	sgARGFX_3	NA	NA	NA	sgC22orf34_3
sgCEACAM6_2	sgARHGAP11A_1	NA	NA	NA	sgC22orf34_4
sgCELA2B_2	sgARHGAP11B_1	NA	NA	NA	sgC22orf39_3
sgCELA3A_4	sgARHGAP21_3	NA	NA	NA	sgC22orf39_4
sgCENPN_4	sgARHGAP23_4	NA	NA	NA	sgC22orf46_1
sgCEP170_1	sgARHGAP26_1	NA	NA	NA	sgC22orf46_2
sgCEP170_3	sgARHGAP42_1	NA	NA	NA	sgC22orf46_3
sgCES1_1	sgARHGAP42_3	NA	NA	NA	sgC22orf46_4
sgCES1_2	sgARHGAP5_1	NA	NA	NA	sgC2orf27B_3
sgCES1_3	sgARHGAP5_4	NA	NA	NA	sgC2orf48_1
sgCES1_4	sgARHGEF2_3	NA	NA	NA	sgC2orf48_2
sgCFC1B_2	sgARHGEF38_2	NA	NA	NA	sgC2orf48_3
sgCFC1B_3	sgARHGEF4_4	NA	NA	NA	sgC2orf48_4
sgCFC1B_4	sgARHGEF5_3	NA	NA	NA	sgC2orf66_3
sgCFC1_1	sgARHGEF5_4	NA	NA	NA	sgC2orf68_2
sgCFC1_2	sgARID3B_2	NA	NA	NA	sgC2orf83_1
sgCFC1_3	sgARID4B_1	NA	NA	NA	sgC2orf83_2
sgCFC1_4	sgARIH2_2	NA	NA	NA	sgC2orf83_3
sgCGB1_1	sgARIH2_3	NA	NA	NA	sgC2orf83_4
sgCGB1_2	sgARIH2_4	NA	NA	NA	sgC2orf91_1
sgCGB1_3	sgARL11_2	NA	NA	NA	sgC2orf91_2
sgCGB1_4	sgARL14EP_2	NA	NA	NA	sgC2orf91_3
sgCGB2_1	sgARL14EP_4	NA	NA	NA	sgC2orf91_4
sgCGB2_2	sgARL14_3	NA	NA	NA	sgC3orf35_1
sgCGB2_3	sgARL3_2	NA	NA	NA	sgC3orf35_2
sgCGB2_4	sgARL4A_2	NA	NA	NA	sgC3orf35_3
sgCGB5_1	sgARL5A_2	NA	NA	NA	sgC3orf35_4
sgCGB5_2	sgARL8B_4	NA	NA	NA	sgC3orf36_1
sgCGB5_3	sgARMC10_4	NA	NA	NA	sgC3orf36_2
