multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgAK2_3	sgADRB1_2	NA	sgGAB4_4	NA	sgC4orf45_4
sgAK2_4	sgADSS_4	NA	sgGDAP2_2	NA	sgC5orf58_1
sgAK3_1	sgAEN_3	NA	sgGIMAP5_2	NA	sgC5orf58_2
sgAK3_3	sgAEN_4	NA	sgGMPPB_1	NA	sgC5orf58_3
sgAK4_2	sgAFAP1L1_2	NA	sgGPATCH2L_2	NA	sgC6orf1_1
sgAK4_3	sgAFG3L2_4	NA	sgGPR160_4	NA	sgC9orf47_1
sgAK4_4	sgAGAP6_3	NA	sgGPR161_2	NA	sgC9orf47_2
sgAK6_1	sgAGAP6_4	NA	sgGPR171_4	NA	sgC9orf47_3
sgAK6_3	sgAGAP6_5	NA	sgGRAMD1B_3	NA	sgC9orf47_4
sgAKR1B15_3	sgAGAP6_7	NA	sgGSTA3_1	NA	sgC9orf57_1
sgAKR1B15_4	sgAGAP9_5	NA	sgHCRTR1_1	NA	sgC9orf57_5
sgAKR1B1_1	sgAGAP9_7	NA	sgHDGFL1_3	NA	sgC9orf84_1
sgAKR1C1_4	sgAGA_1	NA	sgHERPUD2_2	NA	sgC9orf84_2
sgAKR1C1_5	sgAGA_4	NA	sgHMGN3_2	NA	sgCALD1_2
sgAKR1C2_6	sgAHNAK2_1	NA	sgHR_2	NA	sgCAPRIN2_1
sgAKR1C2_7	sgAHNAK2_3	NA	sgHSPD1_3	NA	sgCAPRIN2_4
sgAKR7A3_1	sgAHSA1_3	NA	sgID4_4	NA	sgCAPS2_3
sgAKR7A3_4	sgAIF1L_2	NA	sgIFNLR1_2	NA	sgCCDC136_2
sgAKTIP_2	sgAIF1_1	NA	sgIL16_4	NA	sgCCDC136_4
sgAKTIP_4	sgAIFM2_1	NA	sgIL27RA_1	NA	sgCCDC149_1
sgALDH7A1_4	sgAIM2_3	NA	sgINHBC_1	NA	sgCCDC14_2
sgALG10_1	sgAIMP2_2	NA	sgINSL5_4	NA	sgCCDC14_3
sgALG3_2	sgAIPL1_3	NA	sgIQCE_1	NA	sgCCDC169_2
sgALOX15_2	sgAIPL1_4	NA	sgIQGAP3_4	NA	sgCCDC185_3
sgALOX15_3	sgAIP_1	NA	sgIRF2BP1_4	NA	sgCCDC28A_1
