multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgCCDC144A_1	sgAHNAK2_1	NA	sgPDE1A_1	NA	sgCDC40_1
sgCCDC200_3	sgAHNAK2_2	NA	sgPDK3_1	NA	sgCDSN_1
sgCCDC59_3	sgAHNAK2_3	NA	sgPELO_2	NA	sgCDYL2_2
sgCCDC74A_1	sgAIM2_3	NA	sgPIAS3_2	NA	sgCENPX_3
sgCCDC74A_4	sgAIM2_4	NA	sgPIMREG_1	NA	sgCFAP144P1_1
sgCCL3L3_1	sgAIMP1_4	NA	sgPIP4K2B_4	NA	sgCFAP144P1_3
sgCCL3L3_2	sgAIMP2_3	NA	sgPKP1_3	NA	sgCFAP144P1_4
sgCCL3L3_3	sgAIPL1_3	NA	sgPLCH2_3	NA	sgCFC1B_1
sgCCL3L3_4	sgAJM1_1	NA	sgPMPCA_1	NA	sgCFHR3_1
sgCCL3_1	sgAJM1_2	NA	sgPPAN_3	NA	sgCFHR3_2
sgCCL4L2_1	sgAJM1_4	NA	sgPPARGC1B_2	NA	sgCFLAR_2
sgCCL4L2_2	sgAK2_3	NA	sgPPP1CA_1	NA	sgCGB7_2
sgCCL4_3	sgAK3_1	NA	sgPPP1R16A_3	NA	sgCGB7_4
sgCCL4_4	sgAK3_2	NA	sgPPP1R26_4	NA	sgCHCHD4_4
sgCCZ1B_1	sgAK4P3_3	NA	sgPPP3CA_3	NA	sgCHERP_1
sgCCZ1B_3	sgAK4P3_4	NA	sgPQBP1_4	NA	sgCHKB-CPT1B_3
sgCCZ1_1	sgAK4_3	NA	sgPRIMPOL_1	NA	sgCHP2_4
sgCCZ1_2	sgAK4_4	NA	sgPRLHR_3	NA	sgCHS.123680_1
sgCCZ1_3	sgAK6_1	NA	sgPRM3_1	NA	sgCHS.123680_2
sgCCZ1_4	sgAK6_3	NA	sgPRRC2A_2	NA	sgCHS.131275_1
sgCD24_2	sgAKAP12_1	NA	sgPSRC1_3	NA	sgCHS.131275_2
sgCD99_1	sgAKAP17A_2	NA	sgPTDSS2_2	NA	sgCHS.139276_1
sgCD99_2	sgAKAP17A_3	NA	sgPTGDR2_1	NA	sgCHS.139276_2
sgCD99_3	sgAKIRIN1_4	NA	sgPTN_2	NA	sgCHS.139276_3
sgCD99_4	sgAKIRIN2_2	NA	sgPTTG1IP2_4	NA	sgCHS.139276_4
sgCDC14B_3	sgAKR1B10_1	NA	sgRAB11A_1	NA	sgCHS.139361_1
sgCDC14C_3	sgAKR1B10_3	NA	sgRAB15_4	NA	sgCHS.139361_2
sgCDC14C_4	sgAKR1B10_4	NA	sgRAB3GAP2_2	NA	sgCHS.139361_3
sgCDC26_2	sgAKR1B15_1	NA	sgRABAC1_3	NA	sgCHS.139361_4
sgCDC26_3	sgAKR1B15_4	NA	sgRFX3_4	NA	sgCHS.139635_3
sgCDC26_4	sgAKR1B1_1	NA	sgRGS7_2	NA	sgCHS.140554_1
sgCDC42_2	sgAKR1C1_3	NA	sgRHBDF1_3	NA	sgCHS.140554_2
sgCDC42_3	sgAKR1C1_4	NA	sgRNF4_4	NA	sgCHS.140554_3
sgCDC42_4	sgAKR1C2_1	NA	sgRPN1_4	NA	sgCHS.140554_4
sgCDK11B_2	sgAKR1C2_2	NA	sgSCG3_2	NA	sgCHS.142703_2
sgCDRT15_1	sgAKR1C3_3	NA	sgSCGB2A2_1	NA	sgCHS.142703_3
sgCDRT15_2	sgAKR1C4_1	NA	sgSENP2_2	NA	sgCHS.142703_4
sgCDRT15_3	sgAKR1C4_4	NA	sgSEZ6L_3	NA	sgCHS.142943_1
sgCDY1_1	sgAKR1C8_2	NA	sgSHB_2	NA	sgCHS.142943_2
sgCDY2B_1	sgAKR1D1_1	NA	sgSIGLEC7_4	NA	sgCHS.142943_3
sgCDY2B_2	sgAKR7A2_2	NA	sgSIK2_3	NA	sgCHS.142943_4
sgCDY2B_3	sgAKR7A2_3	NA	sgSLC25A3_2	NA	sgCHS.142956_1
sgCDY2B_4	sgAKR7A3_1	NA	sgSPRYD3_2	NA	sgCHS.142956_2
sgCELA3A_2	sgAKR7A3_3	NA	sgST3GAL2_3	NA	sgCHS.142956_3
sgCENPVL1_1	sgAKR7A3_4	NA	sgSUMO4_1	NA	sgCHS.142956_4
sgCENPVL1_2	sgAKR7L_1	NA	sgSYF2_2	NA	sgCHS.19862_1
sgCENPVL1_3	sgAKR7L_2	NA	sgSYTL1_2	NA	sgCHS.19862_2
sgCENPVL1_4	sgAKR7L_4	NA	sgTCEAL8_3	NA	sgCHS.19862_3
sgCENPVL2_1	sgAKT2_2	NA	sgTJP2_3	NA	sgCHS.19862_4
sgCES1_1	sgAKTIP_2	NA	sgTLE2_4	NA	sgCHS.27337_1
sgCES1_2	sgAKTIP_3	NA	sgTMEFF1_2	NA	sgCHS.27337_2
sgCES1_3	sgAKTIP_4	NA	sgTMEM150B_3	NA	sgCHS.32150_1
sgCES1_4	sgALDH1A2_4	NA	sgTMEM177_2	NA	sgCHS.32150_3
sgCFC1_1	sgALDH3B1_4	NA	sgTMEM41A_4	NA	sgCHS.32150_4
sgCFC1_2	sgALDH3B2_3	NA	sgTOP2B_2	NA	sgCHS.3825_1
sgCFC1_3	sgALDH7A1_1	NA	sgTRAIP_3	NA	sgCHS.3825_2
sgCFC1_4	sgALDOA_3	NA	sgTREML4_1	NA	sgCHS.3825_3
sgCGB2_1	sgALG10B_1	NA	sgTRIM72_1	NA	sgCHS.3825_4
sgCHCHD2_2	sgALG10B_2	NA	sgTRMU_2	NA	sgCHS.39801_1
sgCHRFAM7A_1	sgALG10_1	NA	sgTSC22D3_2	NA	sgCHS.39801_3
sgCHRFAM7A_4	sgALG10_2	NA	sgTSPAN13_3	NA	sgCHS.39801_4
sgCHRNA7_1	sgALG1L2_2	NA	sgTTYH2_4	NA	sgCHS.7849_2
sgCHRNA7_2	sgALG1L2_3	NA	sgTUBD1_1	NA	sgCIAPIN1_2
sgCHS.143558_1	sgALKBH4_3	NA	sgTWF1_2	NA	sgCIMIP2A_2
sgCHS.143558_2	sgALKBH8_4	NA	sgUNC13C_4	NA	sgCIR1_4
sgCHS.143558_3	sgALOX15_3	NA	sgUSP27X_4	NA	sgCIZ1_2
sgCHS.143558_4	sgALPG_1	NA	sgVPS37A_3	NA	sgCKS2_3
sgCKMT1A_1	sgALPG_2	NA	sgWARS2_3	NA	sgCLASP2_3
sgCKMT1A_2	sgALPI_2	NA	sgWWC3_1	NA	sgCLDN5_1
sgCKMT1A_3	sgALPI_4	NA	sgXAGE5_1	NA	sgCLDN5_2
sgCKMT1A_4	sgALPK2_2	NA	sgZCRB1_3	NA	sgCLDN5_3
sgCKMT1B_1	sgALPK3_4	NA	sgZNF155_1	NA	sgCLDN5_4
sgCKS1B_3	sgALPP_1	NA	sgZNF16_4	NA	sgCLGN_3
sgCLDN22_4	sgALPP_2	NA	sgZNF185_2	NA	sgCLN3_1
sgCLEC18A_1	sgALX4_2	NA	sgZNF212_4	NA	sgCLN3_2
sgCLEC18A_2	sgALYREF_4	NA	sgZNF248_2	NA	sgCLN3_3
sgCLEC18B_1	sgAMBN_4	NA	sgZNF345_2	NA	sgCLN3_4
sgCLEC18B_2	sgAMD1_3	NA	sgZNF45_3	NA	sgCNIH2_3
sgCLEC18B_3	sgAMD1_4	NA	sgZNF500_3	NA	sgCNOT1_3
sgCLEC18B_4	sgAMELX_2	NA	sgZNF546_1	NA	sgCOBL_2
sgCLEC18C_2	sgAMELX_4	NA	sgZNF564_1	NA	sgCOL6A5_1
sgCLEC18C_3	sgAMELY_1	NA	sgZNF669_2	NA	sgCOL6A5_2
sgCMC1_1	sgAMELY_4	NA	sgZNF735_4	NA	sgCOL6A5_3
sgCNTNAP3B_2	sgAMER1_4	NA	sgZNF761_2	NA	sgCOL6A5_4
sgCNTNAP3C_1	sgAMY2A_2	NA	sgZNF790_3	NA	sgCOL9A1_3
sgCNTNAP3C_2	sgAMY2B_1	NA	NA	NA	sgCOMMD2_4
sgCNTNAP3C_3	sgAMY2B_2	NA	NA	NA	sgCOMMD8_1
sgCNTNAP3C_4	sgAMY2B_3	NA	NA	NA	sgCOPB2_3
sgCOPS8_4	sgAMZ2_2	NA	NA	NA	sgCOPS7A_4
sgCOX17_3	sgANAPC10_2	NA	NA	NA	sgCOQ2_3
sgCOX20_1	sgANAPC11_2	NA	NA	NA	sgCOX16_2
sgCOX20_2	sgANAPC13_4	NA	NA	NA	sgCOX5A_3
sgCOX20_3	sgANAPC15_4	NA	NA	NA	sgCPLANE2_2
sgCOX6C_3	sgANAPC1_1	NA	NA	NA	sgCRAMP1_1
sgCOX7A2_4	sgANAPC1_2	NA	NA	NA	sgCRIP3_3
sgCRLF2_1	sgANAPC1_3	NA	NA	NA	sgCRISP2_1
sgCRLF2_2	sgANAPC1_4	NA	NA	NA	sgCRISP3_4
sgCRLF2_3	sgANGEL1_1	NA	NA	NA	sgCRYGD_3
sgCRLF2_4	sgANGPTL4_2	NA	NA	NA	sgCSNK2A1_2
sgCRLF2_5	sgANKIB1_3	NA	NA	NA	sgCTRB2_2
sgCRYGC_3	sgANKLE2_2	NA	NA	NA	sgCXCL10_4
sgCSAG2_1	sgANKMY2_1	NA	NA	NA	sgCXCL9_1
sgCSAG2_2	sgANKRD10_4	NA	NA	NA	sgCYP2D7_4
sgCSAG2_3	sgANKRD13C_4	NA	NA	NA	sgCYP4B1_1
sgCSAG2_4	sgANKRD18A_1	NA	NA	NA	sgCYP4B1_2
sgCSAG3_1	sgANKRD18A_2	NA	NA	NA	sgCYP4B1_3
sgCSAG3_2	sgANKRD18A_3	NA	NA	NA	sgCYRIA_4
sgCSF2RA_1	sgANKRD18B_3	NA	NA	NA	sgCYTL1_2
sgCSF2RA_2	sgANKRD18B_4	NA	NA	NA	sgDAB1_3
sgCSF2RA_3	sgANKRD1_3	NA	NA	NA	sgDACT3_3
sgCSF2RA_4	sgANKRD20A1_2	NA	NA	NA	sgDAO_4
sgCSH1_1	sgANKRD30B_2	NA	NA	NA	sgDBN1_3
sgCSH1_2	sgANKRD30B_3	NA	NA	NA	sgDCP1B_1
sgCSH1_3	sgANKRD33B_2	NA	NA	NA	sgDDC_1
sgCSH1_4	sgANKRD33B_3	NA	NA	NA	sgDDX25_3
sgCSH2_1	sgANKRD33B_4	NA	NA	NA	sgDEDD2_2
sgCSH2_2	sgANKRD34B_3	NA	NA	NA	sgDEF8_1
sgCSPG4_2	sgANKRD36B_1	NA	NA	NA	sgDEFB1_2
sgCST2_1	sgANKRD36B_3	NA	NA	NA	sgDEFB121_2
sgCTAG1B_1	sgANKRD36C_2	NA	NA	NA	sgDEFB126_1
sgCTAG1B_2	sgANKRD36C_3	NA	NA	NA	sgDEFB126_2
sgCTAG1B_3	sgANKRD36C_4	NA	NA	NA	sgDEFB126_3
sgCTAG1B_4	sgANKRD36_1	NA	NA	NA	sgDEFB126_4
sgCTAGE15_1	sgANKRD36_2	NA	NA	NA	sgDESI1_4
sgCTAGE15_2	sgANKRD36_3	NA	NA	NA	sgDGKK_1
sgCTAGE15_3	sgANKRD49_2	NA	NA	NA	sgDGKZ_2
sgCTAGE6_1	sgANKRD49_4	NA	NA	NA	sgDIPK1A_1
sgCTAGE9_1	sgANKRD55_4	NA	NA	NA	sgDIPK1A_2
sgCTAGE9_2	sgANKRD62_3	NA	NA	NA	sgDIPK1A_3
sgCTAGE9_3	sgANKRD7_3	NA	NA	NA	sgDIPK1A_4
sgCTAGE9_4	sgANO2_1	NA	NA	NA	sgDKK1_3
sgCTRB1_1	sgANOS1_1	NA	NA	NA	sgDKKL1_2
sgCTRB1_3	sgANP32A_1	NA	NA	NA	sgDLG4_2
sgCTRB1_4	sgANP32A_2	NA	NA	NA	sgDMPK_1
sgCXCL1_3	sgANP32B_3	NA	NA	NA	sgDMPK_2
sgCXCL1_4	sgANP32D_2	NA	NA	NA	sgDMPK_3
sgCXorf49B_1	sgANTKMT_1	NA	NA	NA	sgDMPK_4
sgCXorf49B_2	sgANTXRL_3	NA	NA	NA	sgDNAH3_3
sgCXorf49B_3	sgANXA11_1	NA	NA	NA	sgDNAJB14_3
sgCXorf49B_4	sgANXA11_3	NA	NA	NA	sgDNAJC15_1
sgCXorf49_1	sgANXA3_1	NA	NA	NA	sgDNPEP_1
sgCXorf51A_1	sgANXA6_2	NA	NA	NA	sgDNTTIP1_3
sgCXorf51A_2	sgANXA8L1_1	NA	NA	NA	sgDPY19L4_2
sgCXorf51A_3	sgANXA8L1_3	NA	NA	NA	sgDRD3_1
sgCYCS_3	sgANXA8_1	NA	NA	NA	sgDSTNP4_1
sgCYP2A13_2	sgANXA9_2	NA	NA	NA	sgDSTNP4_2
sgDAZ3_1	sgAOC3_2	NA	NA	NA	sgDSTNP4_3
