multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgB3GNTL1_3	sgAPIP_3	NA	sgPOLR2A_1	NA	sgBNIP3_4
sgB3GNTL1_4	sgAPLN_4	NA	sgPPAPDC2_3	NA	sgBOLL_1
sgBAG4_4	sgAPOBEC3C_3	NA	sgPPP1R16A_2	NA	sgBST1_2
sgBAK1_1	sgAPOBEC3C_4	NA	sgPSENEN_4	NA	sgBSX_1
sgBAK1_2	sgAPOBEC3G_3	NA	sgPSMA3_4	NA	sgBTC_1
sgBAK1_3	sgAPOL2_3	NA	sgPSMB5_3	NA	sgBUB1_1
sgBAK1_4	sgAPOL4_1	NA	sgPSMC1_3	NA	sgC10orf111_1
sgBANF1_4	sgAPOL6_4	NA	sgPXMP4_4	NA	sgC10orf111_2
sgBANP_3	sgAPOO_3	NA	sgRBBP4_3	NA	sgC10orf111_3
sgBANP_4	sgARF1_2	NA	sgRIMS2_1	NA	sgC10orf111_4
sgBCAS2_4	sgARF1_4	NA	sgRNF4_3	NA	sgC10orf113_1
sgBCL2L12_2	sgARF6_2	NA	sgRPL23_1	NA	sgC10orf113_2
sgBCL2L12_3	sgARF6_4	NA	sgRTCB_4	NA	sgC10orf113_3
sgBCLAF1_1	sgARGFX_2	NA	sgSCAF8_1	NA	sgC10orf113_4
sgBCLAF1_2	sgARHGAP11A_1	NA	sgSCGB2A2_2	NA	sgC10orf126_1
sgBDH2_2	sgARHGAP15_4	NA	sgSEMA3G_1	NA	sgC10orf126_2
sgBDH2_4	sgARHGAP20_4	NA	sgSEPT14_4	NA	sgC10orf126_3
sgBIN2_4	sgARHGAP21_2	NA	sgSERPINA3_1	NA	sgC10orf126_4
sgBMPR1A_3	sgARHGAP21_3	NA	sgSERPINB9_4	NA	sgC10orf128_3
sgBMPR1A_4	sgARHGAP4_3	NA	sgSFMBT2_2	NA	sgC10orf25_1
sgBNIP3_1	sgARIH2_1	NA	sgSIGLEC11_2	NA	sgC10orf25_2
sgBOLA3_4	sgARIH2_4	NA	sgSLC22A8_1	NA	sgC10orf25_3
sgBRCC3_1	sgARL14EP_2	NA	sgSLC25A16_4	NA	sgC10orf40_1
sgBRCC3_2	sgARL16_3	NA	sgSLC2A13_2	NA	sgC10orf40_2
sgBRCC3_3	sgARL2BP_2	NA	sgSLC35D1_2	NA	sgC10orf40_3
sgBRD7_3	sgARL5A_1	NA	sgSLC6A13_4	NA	sgC10orf40_4
sgBRI3_1	sgARMC3_1	NA	sgSLC6A20_4	NA	sgC10orf54_4
sgBRI3_4	sgARMCX4_2	NA	sgSLC7A2_1	NA	sgC10orf55_1
sgBTBD6_3	sgARMCX4_3	NA	sgSLIT1_3	NA	sgC10orf55_2
sgBTF3L4_1	sgARPC1A_2	NA	sgSMARCA4_4	NA	sgC10orf55_3
sgBZW1_3	sgARPC1A_3	NA	sgSMPDL3B_2	NA	sgC10orf55_4
sgBZW1_4	sgARPC3_4	NA	sgSPATA31E1_4	NA	sgC10orf85_1
sgC10orf68_3	sgARPP19_2	NA	sgSRR_2	NA	sgC10orf85_2
sgC10orf88_1	sgARPP19_3	NA	sgSSH1_2	NA	sgC10orf85_3
sgC11orf58_4	sgARPP19_4	NA	sgSTK31_1	NA	sgC10orf85_4
sgC11orf73_1	sgARSD_1	NA	sgSTPG2_2	NA	sgC10orf91_1
sgC11orf73_2	sgARSD_3	NA	sgSUN2_3	NA	sgC10orf91_3
sgC11orf73_3	sgART3_2	NA	sgSUPT4H1_4	NA	sgC10orf91_4
sgC11orf73_4	sgASAP2_4	NA	sgTACC3_1	NA	sgC11orf40_1
sgC11orf74_1	sgASB9_1	NA	sgTEAD1_2	NA	sgC11orf40_2
sgC12orf49_2	sgASB9_4	NA	sgTMEM202_3	NA	sgC11orf40_3
sgC12orf71_2	sgASGR2_4	NA	sgTMEM240_2	NA	sgC11orf40_4
sgC12orf71_3	sgASIC5_1	NA	sgTMEM253_1	NA	sgC11orf44_1
sgC12orf71_4	sgASNA1_2	NA	sgTMEM8B_1	NA	sgC11orf44_2
sgC15orf40_3	sgASNA1_3	NA	sgTNFRSF10B_3	NA	sgC11orf44_3
sgC15orf40_4	sgASNA1_4	NA	sgTOMM40_2	NA	sgC11orf44_4
sgC17orf89_4	sgASNSD1_1	NA	sgTPRX2P_2	NA	sgC11orf45_1
sgC18orf25_3	sgASNS_1	NA	sgTRIM13_4	NA	sgC11orf45_2
sgC1QBP_3	sgASNS_2	NA	sgTRMT10C_1	NA	sgC11orf45_3
sgC22orf42_2	sgASTL_4	NA	sgTSR3_1	NA	sgC11orf45_4
sgC22orf42_3	sgATAD3B_4	NA	sgTSSK6_4	NA	sgC11orf72_1
sgC22orf42_4	sgATF4_3	NA	sgTSTD1_4	NA	sgC11orf72_2
sgC22orf43_1	sgATF4_4	NA	sgTYK2_4	NA	sgC11orf72_3
sgC22orf43_3	sgATF7IP2_1	NA	sgUSP27X_3	NA	sgC11orf72_4
sgC22orf43_4	sgATF7IP_1	NA	sgUSP8_1	NA	sgC11orf96_2
sgC3orf38_3	sgATF7IP_2	NA	sgVHL_3	NA	sgC11orf96_3
sgC4orf46_1	sgATF7IP_3	NA	sgVN1R4_3	NA	sgC11orf96_4
sgC4orf46_3	sgATF7_4	NA	sgWBP1L_2	NA	sgC12orf36_1
sgC5orf60_1	sgATG12_2	NA	sgWBP2_1	NA	sgC12orf36_2
sgC5orf60_2	sgATG12_3	NA	sgWWC3_1	NA	sgC12orf36_4
sgC5orf60_3	sgATG12_4	NA	sgXDH_2	NA	sgC12orf61_1
sgC5orf60_4	sgATG13_2	NA	sgXIRP2_3	NA	sgC12orf61_2
sgC6orf106_3	sgATG4B_4	NA	sgXPNPEP2_1	NA	sgC12orf61_3
sgC8orf46_1	sgATMIN_1	NA	sgXPOT_3	NA	sgC12orf61_4
sgCA5A_2	sgATMIN_2	NA	sgXYLT2_2	NA	sgC12orf74_4
sgCA5A_3	sgATOH7_1	NA	sgZNF140_1	NA	sgC12orf77_1
sgCA5B_2	sgATP13A3_4	NA	sgZNF276_2	NA	sgC12orf77_2
sgCACNA1B_1	sgATP1B1_2	NA	sgZNF471_4	NA	sgC12orf77_3
sgCACNA1B_2	sgATP1B3_1	NA	sgZNF562_3	NA	sgC12orf77_4
sgCACNA1B_3	sgATP1B3_4	NA	sgZNF598_2	NA	sgC13orf35_1
sgCACNA2D2_2	sgATP5B_4	NA	sgZNF624_1	NA	sgC13orf35_2
sgCACYBP_1	sgATP5G2_3	NA	sgZNF764_2	NA	sgC13orf35_3
sgCACYBP_2	sgATP5H_3	NA	NA	NA	sgC13orf35_4
sgCACYBP_3	sgATP5H_4	NA	NA	NA	sgC14orf132_1
sgCACYBP_4	sgATP5L_3	NA	NA	NA	sgC14orf132_2
sgCALM1_1	sgATP5O_1	NA	NA	NA	sgC14orf132_3
sgCAPZA1_4	sgATP6V1A_4	NA	NA	NA	sgC14orf132_4
sgCAPZA2_4	sgATP6V1E1_1	NA	NA	NA	sgC14orf166B_1
