multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgAKR7A3_3	sgADRB2_4	NA	sgCD44_4	NA	sgC10orf53_7
sgAKR7A3_5	sgADSS_2	NA	sgCECR5_1	NA	sgC10orf95_5
sgAKTIP_2	sgADSS_4	NA	sgCELA2B_3	NA	sgC11orf80_1
sgAKTIP_4	sgAEBP2_2	NA	sgCEP112_3	NA	sgC11orf80_2
sgAKTIP_5	sgAEN_5	NA	sgCER1_4	NA	sgC12orf76_2
sgALDH7A1_1	sgAFG3L2_1	NA	sgCFDP1_3	NA	sgC12orf76_3
sgALDH7A1_2	sgAFG3L2_3	NA	sgCFDP1_5	NA	sgC12orf76_5
sgALDH7A1_4	sgAFM_3	NA	sgCFHR4_3	NA	sgC16orf62_1
sgALDOA_2	sgAGAP3_7	NA	sgCGREF1_2	NA	sgC16orf78_5
sgALOX15_1	sgAGAP5_1	NA	sgCHRDL1_4	NA	sgC16orf86_4
sgAMD1_1	sgAGAP6_1	NA	sgCKM_2	NA	sgC17orf58_2
sgAMD1_2	sgAGAP6_2	NA	sgCLEC2A_3	NA	sgC1orf162_2
sgAMD1_4	sgAGK_2	NA	sgCNIH1_3	NA	sgC1orf162_3
sgAMELX_2	sgAGK_3	NA	sgCOQ2_1	NA	sgC1orf162_4
sgAMELX_6	sgAGO2_5	NA	sgCOX10_2	NA	sgC1orf186_1
sgAMELY_4	sgAGPAT6_3	NA	sgCOX10_4	NA	sgC20orf96_3
sgAMY1B_1	sgAGPAT6_4	NA	sgCRTC1_2	NA	sgC22orf39_6
sgAMY2A_2	sgAGTR2_1	NA	sgCRYZ_3	NA	sgC2orf15_1
sgAMY2A_3	sgAGXT2_4	NA	sgCSF1_4	NA	sgC2orf48_1
sgAMZ2_1	sgAHSG_2	NA	sgCTSE_3	NA	sgC2orf48_2
sgANAPC10_4	sgAHSP_2	NA	sgCXCL12_9	NA	sgC2orf48_3
sgANAPC10_5	sgAIDA_1	NA	sgCYP17A1_2	NA	sgC2orf48_4
sgANAPC1_1	sgAIF1L_4	NA	sgCYP19A1_4	NA	sgC2orf68_3
sgANAPC1_2	sgAIF1_5	NA	sgCYP3A43_1	NA	sgC3_4
sgANAPC1_4	sgAIF1_7	NA	sgCYP7A1_3	NA	sgC4orf22_1
sgANKRD18A_1	sgAIPL1_2	NA	sgCYYR1_3	NA	sgC4orf33_3
sgANKRD18A_2	sgAK3_4	NA	sgDAOA_3	NA	sgC4orf3_4
sgANKRD33B_4	sgAK5_5	NA	sgDAZAP2_3	NA	sgC4orf3_5
sgANKRD36_1	sgAK6_1	NA	sgDDT_3	NA	sgC4orf3_6
sgANKRD36_3	sgAK6_2	NA	sgDEFB118_5	NA	sgC4orf3_7
sgANKRD36_4	sgAK6_3	NA	sgDEGS1_1	NA	sgC5orf63_3
sgANKRD36_5	sgAKAP10_4	NA	sgDEK_5	NA	sgC8orf33_5
